Name,Time,County,Location,Acres,Containment
Camp Fire,11/24/2018 20:07,Butte County,Pulga Road at Camp Creek Road near Jarbo Gap,"153,336",98,39.6519275,-121.5858444
Woolsey Fire,11/21/2018 18:11,Los Angeles County,"E Street and Alfa Road Rd, South of Simi Valley","96,949",100,34.3155072,-118.2096814
Hill Fire,11/16/2018 06:44,Ventura County,"Hill Canyon Rd and Santa Rosa Rd, Santa Rosa Valley","4,531",100,34.4458248,-119.0779359
Nurse Fire,11/09/2018 11:56,Solano County,"off Highway 12 and Nurse Blue Road, Suisun City","1,500",90,38.2218938,-121.9163555
Sierra Fire,11/14/2018 14:03,San Bernardino County,off Sierra Ave and Riverside Ave,147,85,34.8253019,-116.0833144
Niles Fire,11/17/2018 08:23,Alameda County," off Palomares Road Niles Canyon Road, northwest of Sunol",20,90,37.6090291,-121.899142
Eagle Fire,10/02/2018 18:36,Fresno County," Bobs Flat Trail, 3 miles north of Trimmer", , ,36.6713502,-119.8155355
Donnell Fire,09/04/2018 15:25,Tuolumne County,"Near Hwy 108, Donnell Lake area in the Carson Iceburg Wilderness", , ,38.056944,-119.9919351
Bear Fire ,11/19/2018 16:14,Santa Cruz County,"off Bear Creek Road and Mayfair Road, Boulder Creek north of Santa Cruz",10,100,37.050096,-121.9905908
Morgan Fire,11/19/2018 16:14,Contra Costa County,"Off Morgan Territory Rd & Storybook Ln, east of San Ramon",20,100,37.9034806,-121.9175345
Briggs Fire,11/19/2018 16:14,Ventura County,"off Shell Road and Orr Road, Santa Paula",150,100,34.4458248,-119.0779359
Green Hill Fire,11/15/2018 08:55,Humboldt County,off Highway 299 in the area of Green Hill,1,100,40.5997415,-123.8997734
Peak Fire,11/15/2018 08:55,Ventura County,"off Highway 118 and Rocky Peak Road, east of Simi Valley",186,100,34.4458248,-119.0779359
Horn Fire,11/15/2018 08:56,Lassen County,"Horn Road and Mail Route Road, 9 miles southeast of Termo",88,100,40.7685579,-120.730998
Brushy Fire,11/15/2018 08:54,Mendocino County,"near Dos Rios, off Highway 162, East of Highway 101 and West of Covelo",35,100,39.3176491,-123.4126399
Adams Fire,11/06/2018 15:25,Tehama County,"off Adams Road at Barr Lane, southwest of Cottonwood",60,100,40.1251334,-122.2015529
Rincon Fire,11/15/2018 08:56,Santa Cruz County,"off Highway 9 and Rincon Crossing, north of Santa Cruz",17,100,37.050096,-121.9905908
June Fire,11/01/2018 20:36,Butte County,"Four Junes Way and Palermo, south of Palermo",550,100,39.6519275,-121.5858444
Market Fire,10/30/2018 10:18,Tulare County,"Road 208 and Avenue 380, 5 miles north of Woodlake",120,100,36.2516475,-118.852583
Camino Fire,10/24/2018 11:57,San Luis Obispo County,Off Lopez Drive east of Arroyo Grande,58,100,35.3540209,-120.3757163
Powellton Fire,10/23/2018 08:26,Butte County,"Upper Powellton Rd and Skyway, north of Stirling City",10,100,39.6519275,-121.5858444
Masonic Fire,10/16/2018 16:34,Shasta County,"Lake Blvd & Masonic Ave, Redding",38,100,40.7965121,-121.9979194
Tower Fire,10/16/2018 15:48,Shasta County,"Cloverdale & Clear Creek, Near the community of Igo",12,100,40.7965121,-121.9979194
Priest Fire,10/16/2018 15:47,Monterey County," Hwy 198 & Priest Valley Rd, east of San Lucas",167,100,36.2231079,-121.3877428
Winters Fire,10/16/2018 16:24,Solano County,"Winters Rd & Allendale Rd, south of Winters",160,100,38.2218938,-121.9163555
